#  telescope	date	JD	airmass	filter_obs	filter	constant
  FTN_FS	2011-12-30T15:51:06.035	55925.660	2.157	      dophot	  g  26.5024  gr 0.20478 | 0.848  0.0
  FTN_FS	2011-12-30T15:34:42.289	55925.649	2.470	      dophot	  g  26.3191  gr 0.66497 | 0.431  0.0
  FTN_FS	2011-04-18T14:19:29.619	55669.597	1.040	      dophot	  r  27.3732  gr 0.02913 | 0.202  0.0
  FTN_FS	2011-04-18T14:19:29.619	55669.597	1.040	      dophot	  r  27.3757  ri 0.04415 | 0.310  0.0
  FTN_FS	2011-04-21T12:21:26.333	55672.515	1.011	      dophot	  r  28.1428  gr -0.0093 | 0.123  0.0
  FTN_FS	2011-04-21T12:21:26.333	55672.515	1.011	      dophot	  r  28.1319  ri -0.0004 | 0.000  0.0
  FTN_FS	2011-04-24T12:22:38.497	55675.516	1.005	      dophot	  r  27.4966  gr 0.01140 | 0.009  0.0
  FTN_FS	2011-04-24T12:22:38.497	55675.516	1.005	      dophot	  r  27.5017  ri 0.00999 | 0.005  0.0
  FTN_FS	2011-04-25T13:32:13.014	55676.564	1.020	      dophot	  r  27.5909  gr 0.01919 | 0.016  0.0
  FTN_FS	2011-04-25T13:32:13.014	55676.564	1.020	      dophot	  r  27.6106  ri -0.0030 | 0.000  0.0
  FTN_FS	2011-04-26T14:48:50.253	55677.617	1.157	      dophot	  r  27.5831  gr 0.02759 | 0.021  0.0
  FTN_FS	2011-04-26T14:48:50.253	55677.617	1.157	      dophot	  r  27.5996  ri 0.00530 | 0.000  0.0
  FTN_FS	2011-04-28T14:54:21.019	55679.621	1.197	      dophot	  r  27.4310  gr 0.04270 | 0.073  0.0
  FTN_FS	2011-04-28T14:54:21.019	55679.621	1.197	      dophot	  r  27.4423  ri 0.04161 | 0.078  0.0
  FTN_FS	2011-04-30T14:07:38.302	55681.589	1.097	      dophot	  r  28.2945  gr 0.01991 | 0.101  0.0
  FTN_FS	2011-04-30T14:07:38.302	55681.589	1.097	      dophot	  r  28.2988  ri 0.01913 | 0.071  0.0
  FTN_FS	2011-05-14T12:12:47.994	55695.509	1.016	      dophot	  r  27.5385  gr -0.0063 | 0.005  0.0
  FTN_FS	2011-05-14T12:12:47.994	55695.509	1.016	      dophot	  r  27.5440  ri -0.0206 | 0.054  0.0
  FTN_FS	2011-05-15T12:08:14.964	55696.506	1.016	      dophot	  r  27.9166  gr 0.03400 | 0.743  0.0
  FTN_FS	2011-05-15T12:08:14.964	55696.506	1.016	      dophot	  r  27.9193  ri 0.05803 | 0.943  0.0
